keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FANTASY_GIANT_BEAR_NAME,Giant Bear,Ours géant,巨熊,ジャイアントベア,거대 곰,巨熊,Гигантский медведь,Olbrzymi niedźwiedź,Oso gigante,Urso gigante,Riesenbär,Dev Ayı,Orso gigante
FANTASY_GIANT_BEAR_BEHAVIOUR_DESCRIPTION,"Slowly chase the player, dashing toward them every 2 seconds and firing 3 short-range spread bullets in sequence during each dash","Poursuit lentement le joueur, fonçant vers lui toutes les 2 secondes et tirant 3 balles à dispersion à courte portée successivement pendant chaque ruée","缓慢追击玩家, 每2秒冲向玩家, 冲刺过程中先后发射3次短距离的扩散子弹","ゆっくりとプレイヤーを追跡し,2秒ごとにダッシュし,各ダッシュ中に短距離拡散弾を3発連続で発射する","플레이어를 천천히 쫓으며, 2초마다 돌진하고, 각 돌진 중 단거리 확산탄을 3발 연속으로 발사합니다","緩慢追擊玩家,每2秒衝向玩家,衝刺過程中先後發射3次短距離的擴散子彈","Медленно преследует игрока, совершая рывок каждые 2 секунды и выпуская 3 короткодистанционные разлетающиеся пули последовательно во время каждого рывка","Powoli goni gracza, doskakując co 2 sekundy i wystrzeliwując kolejno 3 krótkozasięgowe pociski rozproszone podczas każdego doskoku","Persigue lentamente al jugador, abalanzándose cada 2 segundos y disparando 3 balas de dispersión de corto alcance en secuencia durante cada embestida","Persegue lentamente o jogador, avançando a cada 2 segundos e disparando 3 projéteis de dispersão de curto alcance em sequência durante cada investida","Verfolgt den Spieler langsam, stürmt alle 2 Sekunden auf ihn zu und feuert bei jedem Sturm nacheinander 3 kurzreichweitige Streugeschosse ab","Oyuncuyu yavaşça kovalar, her 2 saniyede bir ona doğru atılır ve her atılım sırasında sırayla 3 kısa menzilli dağılan mermi ateşler","Insegue lentamente il giocatore, scattando ogni 2 secondi e sparando 3 proiettili a corto raggio in sequenza durante ogni scatto"
FANTASY_LITTLE_DEMON_NAME,Little Demon,Petit démon,小恶魔,リトルデーモン,꼬마 악마,小惡魔,Маленький демон,Mały demon,Demonio pequeño,Pequeno demônio,Kleiner Dämon,Küçük Şeytan,Piccolo demone
FANTASY_LITTLE_DEMON_BEHAVIOUR_DESCRIPTION,"Pursue the player, firing two bullets every 1.5 seconds that appear from the left and right sides of the map and travel toward each other","Poursuit le joueur, tirant deux balles toutes les 1,5 seconde qui apparaissent des côtés gauche et droit de la carte et se dirigent l'une vers l'autre","追击玩家, 每1.5秒发射两个从地图左右两侧出现的相对而行的子弹","プレイヤーを追跡し,1.5秒ごとにマップの左右両端から現れ互いに向かって進む2発の弾を発射する","플레이어를 추적하며, 1.5초마다 맵의 좌우 양쪽에서 나타나 서로를 향해 이동하는 두 개의 탄환을 발사합니다","追擊玩家,每1.5秒發射兩個從地圖左右兩側出現的相對而行的子彈","Преследует игрока, каждые 1,5 секунды выпуская две пули, появляющиеся с левой и правой сторон карты и летящие навстречу друг другу","Goni gracza, co 1,5 sekundy wystrzeliwując dwa pociski pojawiające się z lewej i prawej strony mapy i lecące ku sobie","Persigue al jugador, disparando dos balas cada 1.5 segundos que aparecen desde los lados izquierdo y derecho del mapa y viajan una hacia la otra","Persegue o jogador, disparando dois projéteis a cada 1,5 segundos que surgem dos lados esquerdo e direito do mapa e viajam um na direção do outro","Verfolgt den Spieler, feuert alle 1,5 Sekunden zwei Kugeln ab, die von der linken und rechten Seite der Karte erscheinen und aufeinander zufliegen","Oyuncuyu takip eder, haritanın sol ve sağ taraflarından beliren ve birbirine doğru ilerleyen iki mermiyi her 1,5 saniyede bir ateşler","Insegue il giocatore, sparando due proiettili ogni 1,5 secondi che appaiono dai lati sinistro e destro della mappa e viaggiano l'uno verso l'altro"
FANTASY_CRYSTALLINE_ELEMENTS_NAME,Crystalline Elements,Éléments cristallins,元素结晶,クリスタルエレメント,수정 원소,元素結晶,Кристаллические элементы,Krystaliczne żywioły,Elementos cristalinos,Elementos cristalinos,Kristallelemente,Kristal Elementler,Elementi cristallini
FANTASY_CRYSTALLINE_ELEMENTS_BEHAVIOUR_DESCRIPTION,"Teleports randomly within a range of 700 every 3 seconds, and each second summons a hexagonal cluster of six blade flashes around itself that contracts inward.","Se téléporte aléatoirement dans un rayon de 700 toutes les 3 secondes, et chaque seconde invoque un groupe hexagonal de six éclairs de lame autour de lui qui se contracte vers l'intérieur.","每3秒在700范围内随机传送,每秒在周围召唤由6个刀光构成的向内收缩的六边形刀光群","3秒ごとに範囲700内でランダムにテレポートし,毎秒6つの剣閃からなる六角形の閃光群を自身の周囲に召喚し,内側に収縮する.","3초마다 700 범위 내에서 무작위로 순간이동하며, 매 초 주변에 6개의 검기로 구성된 육각형 무리를 소환하여 안쪽으로 수축시킵니다.","每3秒在700範圍內隨機傳送,每秒在周圍召喚由6個刀光構成的向內收縮的六邊形刀光群","Телепортируется случайным образом в радиусе 700 каждые 3 секунды, и каждую секунду призывает вокруг себя шестиугольную группу из шести мечевых вспышек, которая сжимается внутрь.","Teleportuje się losowo w zasięgu 700 co 3 sekundy, a co sekundę przywołuje wokół siebie sześciokątną grupę sześciu błysków ostrza, która kurczy się do wewnątrz.","Se teletransporta aleatoriamente en un radio de 700 cada 3 segundos, y cada segundo invoca un grupo hexagonal de seis destellos de espada a su alrededor que se contrae hacia adentro.","Teletransporta-se aleatoriamente num raio de 700 a cada 3 segundos e, a cada segundo, invoca um aglomerado hexagonal de seis lampejos de lâmina ao seu redor que se contrai para dentro.","Teleportiert sich alle 3 Sekunden zufällig in einem Umkreis von 700 und beschwört jede Sekunde eine sechseckige Gruppe von sechs Klingenblitzen um sich herum, die sich nach innen zusammenzieht.","Her 3 saniyede bir 700 menzil içinde rastgele ışınlanır ve her saniye etrafında, içe doğru büzülen altı kılıç parıltısından oluşan altıgen bir küme çağırır.","Si teletrasporta casualmente entro un raggio di 700 ogni 3 secondi, e ogni secondo evoca un gruppo esagonale di sei lampi di lama intorno a sé che si contrae verso l'interno."
INFO_POS_STAT_FANTASY_HOLY,"Increases damage dealt to cursed enemies by {0}, increases the probability of enemies dropping souls by {1}, and reduces all enemies' HP by {2}.","Augmente les dégâts infligés aux ennemis maudits de {0}, augmente la probabilité que les ennemis lâchent des âmes de {1} et réduit les PV de tous les ennemis de {2}.",额外增加对被诅咒敌人造成的伤害{0}，增加敌人掉魂的概率{1}，降低所有敌人的血量{2}。,呪われた敵に与えるダメージが{0}増加し、敵が魂を落とす確率が{1}増加し、全敵のHPが{2}減少する。,"저주받은 적에게 주는 피해가 {0} 증가하고, 적이 영혼을 떨어뜨릴 확률이 {1} 증가하며, 모든 적의 HP가 {2} 감소한다.",額外增加對被詛咒敵人造成的傷害{0}，增加敵人掉魂的機率{1}，降低所有敵人的血量{2}。,"Увеличивает урон по проклятым врагам на {0}, повышает вероятность выпадения душ из врагов на {1} и снижает ОЗ всех врагов на {2}.","Zwiększa obrażenia zadawane przeklętym wrogom o {0}, zwiększa szansę na upuszczenie dusz przez wrogów o {1} i zmniejsza HP wszystkich wrogów o {2}.","Aumenta el daño infligido a enemigos malditos en un {0}, aumenta la probabilidad de que los enemigos suelten almas en un {1} y reduce el HP de todos los enemigos en un {2}.","Aumenta o dano causado a inimigos amaldiçoados em {0}, aumenta a probabilidade de inimigos derrubarem almas em {1} e reduz o HP de todos os inimigos em {2}.","Erhöht den Schaden gegen verfluchte Feinde um {0}, erhöht die Wahrscheinlichkeit, dass Feinde Seelen fallen lassen, um {1} und reduziert die LP aller Feinde um {2}.","Lanetli düşmanlara verilen hasarı {0} artırır, düşmanların ruh düşürme olasılığını {1} artırır ve tüm düşmanların HP'sini {2} azaltır.","Aumenta i danni inflitti ai nemici maledetti di {0}, aumenta la probabilità che i nemici lascino cadere anime di {1} e riduce i PV di tutti i nemici di {2}."
INFO_NEG_STAT_FANTASY_HOLY,Inactive when negative.,Inactif si négatif.,负数时不生效。,マイナス時は無効.,음수일 때 비활성화됩니다.,負數時不生效。,Не действует при отрицательном значении.,"Nieaktywny, gdy ujemny.",Inactivo cuando es negativo.,Inativo quando negativo.,Inaktiv bei negativem Wert.,Negatif olduğunda etkin değildir.,Inattivo se negativo.
INFO_POS_STAT_FANTASY_SOUL,"Special drop item, only drops when Holy attribute is positive. After picking up, %Damage increases by an additional 10 ({0}% Damage), %Attack Speed increases by an additional 10 ({1}% Attack Speed), each lasting 2 seconds.","Objet spécial, ne tombe que lorsque l'attribut Sacré est positif. Après ramassage, les % de dégâts augmentent de 10 supplémentaires ({0}% de dégâts), la % de vitesse d'attaque augmente de 10 supplémentaires ({1}% de vitesse d'attaque), chacun pendant 2 secondes.",特殊掉落物，仅在神圣属性为正时掉落。拾取后%伤害额外增加10({0} %伤害)，%攻击速度额外增加10({1} %攻击速度)，每个持续2秒。,特殊ドロップアイテム、聖属性が正の時のみドロップ。拾取後、%ダメージが追加で10増加（{0}%ダメージ）、%攻撃速度が追加で10増加（{1}%攻撃速度）、各2秒間持続。,"특수 드롭 아이템, 신성 속성이 양수일 때만 드롭. 획득 후 % 피해가 추가로 10 증가({0}% 피해), % 공격 속도가 추가로 10 증가({1}% 공격 속도), 각각 2초간 지속.",特殊掉落物，僅在神聖屬性為正時掉落。拾取後%傷害額外增加10({0}%傷害)，%攻擊速度額外增加10({1}%攻擊速度)，每個持續2秒。,"Особый предмет, выпадает только при положительном атрибуте Святость. После подбора % урона дополнительно увеличивается на 10 ({0}% урона), % скорости атаки дополнительно увеличивается на 10 ({1}% скорости атаки), каждый эффект длится 2 секунды.","Specjalny przedmiot, wypada tylko przy dodatnim atrybucie Świętości. Po podniesieniu % obrażeń zwiększa się dodatkowo o 10 ({0}% obrażeń), % szybkości ataku zwiększa się dodatkowo o 10 ({1}% szybkości ataku), każdy efekt trwa 2 sekundy.","Objeto especial, solo cae cuando el atributo Sagrado es positivo. Al recogerlo, el % de daño aumenta adicionalmente en 10 ({0}% de daño), la % de velocidad de ataque aumenta adicionalmente en 10 ({1}% de velocidad de ataque), cada uno dura 2 segundos.","Item especial, só cai quando o atributo Sagrado é positivo. Após pegar, o % de dano aumenta adicionalmente em 10 ({0}% de dano), a % de velocidade de ataque aumenta adicionalmente em 10 ({1}% de velocidade de ataque), cada um por 2 segundos.","Spezialgegenstand, fällt nur bei positivem Heiligkeitsattribut ab. Nach dem Aufheben erhöht sich % Schaden zusätzlich um 10 ({0}% Schaden), % Angriffstempo zusätzlich um 10 ({1}% Angriffstempo), jeder Effekt hält 2 Sekunden an.","Özel eşya, sadece Kutsal özelliği pozitifken düşer. Topladıktan sonra % Hasar ek olarak 10 artar ({0}% Hasar), % Saldırı Hızı ek olarak 10 artar ({1}% Saldırı Hızı), her biri 2 saniye sürer.","Oggetto speciale, cade solo quando l'attributo Sacro è positivo. Dopo il raccoglimento, il % Danno aumenta ulteriormente di 10 ({0}% Danno), la % Velocità d'attacco aumenta ulteriormente di 10 ({1}% Velocità d'attacco), ognuno dura 2 secondi."
STAT_FANTASY_HOLY,Holy,Saint,神圣,ホーリー,신성,神聖,Святость,Świętość,Sagrado,Sagrado,Heilig,Kutsal,Sacro
CLASS_FANTASY_HOLY,Holy,Saint,神圣,ホーリー,신성,神聖,Святой,Święta,Sagrado,Sagrado,Heilig,Kutsal,Sacro
CLASS_FANTASY_FALLEN,Fallen,Corrompu,堕落,フォールン,타락,墮落,Падший,Upadły,Caído,Caído,Gefallen,Düşmüş,Caduto
STAT_FANTASY_SOUL,Soul,Âme,魂,ソウル,영혼,魂,Душа,Dusza,Alma,Alma,Seele,Ruh,Anima
CONSUMABLE_FANTASY_SOUL,Soul,Âme,魂,ソウル,영혼,魂,Душа,Dusza,Alma,Alma,Seele,Ruh,Anima
ITEM_FANTASY_BADGE,Badge,Insigne,徽章,バッジ,뱃지,徽章,Жетон,Odznaka,Insignia,Distintivo,Abzeichen,Rozet,Distintivo
ITEM_FANTASY_BIBLE,Bible,Bible,圣经,聖書,성경,聖經,Библия,Biblia,Biblia,Bíblia,Bibel,İncil,Bibbia
ITEM_FANTASY_BLACK_MUD,Black Mud,Boue noire,黑泥,黒い泥,검은 진흙,黑泥,Чёрная грязь,Czarne błoto,Lodo negro,Lama negra,Schwarzer Schlamm,Kara Çamur,Fango nero
ITEM_FANTASY_BLESSED_BREASTPLATE,Blessed Breastplate,Cuirasse bénie,被祝福的胸甲,祝福の胸当て,축복받은 흉갑,被祝福的胸甲,Благословенная кираса,Błogosławiony napierśnik,Coraza bendecida,Couraça abençoada,Gesegneter Brustpanzer,Kutsanmış Göğüs Zırhı,Pettorale benedetto
ITEM_FANTASY_BOOKMARK,Bookmark,Marque-page,书签,ブックマーク,책갈피,書籤,Закладка,Zakładka,Marcapáginas,Marcador,Lesezeichen,Yer İmi,Segnalibro
ITEM_FANTASY_BOWSTRING,Bowstring,Corde d'arc,弓弦,弓弦,활시위,弓弦,Тетива,Cięciwa,Cuerda de arco,Corda de arco,Bogensehne,Yay Kirişi,Corda d'arco
ITEM_FANTASY_BRASS_BEARING,Brass Bearing,Roulement en laiton,黄铜轴承,真鍮ベアリング,황동 베어링,黃銅軸承,Латунный подшипник,Mosiężne łożysko,Rodamiento de latón,Rolamento de latão,Messinglager,Pirinç Rulman,Cuscinetto in ottone
ITEM_FANTASY_BRASS_COMPONENT,Brass Component,Composant en laiton,黄铜构件,真鍮部品,황동 부품,黃銅構件,Латунная деталь,Mosiężny komponent,Componente de latón,Componente de latão,Messingkomponente,Pirinç Bileşen,Componente in ottone
ITEM_FANTASY_BRASS_GEAR,Brass Gear,Engrenage en laiton,黄铜齿轮,真鍮歯車,황동 톱니바퀴,黃銅齒輪,Латунная шестерня,Mosiężne koło zębate,Engranaje de latón,Engrenagem de latão,Messingzahnrad,Pirinç Dişli,Ingranaggio in ottone
ITEM_FANTASY_PRISM_TOWER,Prism Tower,Tour prismatique,光棱塔,プリズムタワー,프리즘 탑,光棱塔,Призматическая башня,Wieża pryzmatyczna,Torre prismática,Torre prismática,Prismenturm,Prizma Kulesi,Torre prismatica
ITEM_FANTASY_BRAVE_NECKLACE,Brave Necklace,Collier du brave,勇者项链,勇者のネックレス,용자의 목걸이,勇者項鍊,Ожерелье храбреца,Naszyjnik odważnych,Collar del valiente,Colar do bravo,Mutiger Anhänger,Cesur Kolye,Collana del coraggioso
STAT_LEVELS,Levels,Niveaux,等级,レベル,레벨,等級,Уровни,Poziomy,Niveles,Níveis,Stufen,Seviyeler,Livelli
ITEM_FANTASY_CLOCK_TOWER_ECHO,Clock Tower Echo,Écho du clocher,时计塔的回响,時計塔の残響,시계탑의 메아리,時針塔的迴響,Эхо часовой башни,Echo wieży zegarowej,Eco de la torre del reloj,Eco da torre do relógio,Uhrenturm-Echo,Saat Kulesi Yankısı,Eco della torre dell'orologio
EFFECT_FANTASY_TIME_BONUS_CURRENT_HEALTH_DAMAGE,"Every {0} seconds, deal additional damage equal to {1} of the max health of all enemies ({2} for elites and bosses)","Toutes les {0} secondes, inflige des dégâts supplémentaires égaux à {1} des PV max de tous les ennemis ({2} pour les élites et les boss)",每{0}秒对所有敌人额外造成相当于其最大生命值的{1}的伤害(对精英和头目则为{2}),"{0}秒ごとに,全敵の最大HPの{1}に等しい追加ダメージを与える(エリートとボスには{2})","{0}초마다, 모든 적의 최대 체력의 {1}만큼 추가 피해를 줍니다 (엘리트와 보스에게는 {2})",每{0}秒對所有敵人額外造成相當於其最大生命值的{1}的傷害(對菁英和頭目則為{2}),"Каждые {0} секунд наносит дополнительный урон, равный {1} от макс. здоровья всех врагов ({2} для элиты и боссов)",Co {0} sekund zadaje dodatkowe obrażenia równe {1} maks. PŻ wszystkich wrogów ({2} dla elit i bossów),"Cada {0} segundos, inflige daño adicional equivalente al {1} de la vida máxima de todos los enemigos ({2} para élites y jefes)","A cada {0} segundos, causa dano adicional igual a {1} da vida máxima de todos os inimigos ({2} para elites e chefes)",Alle {0} Sekunden zusätzlichen Schaden in Höhe von {1} der maximalen LP aller Gegner verursachen ({2} für Eliten und Bosse),"Her {0} saniyede, tüm düşmanların maksimum canının {1} kadarı kadar ek hasar verir (elitler ve bosslar için {2})","Ogni {0} secondi, infligge danni aggiuntivi pari a {1} dei PV massimi di tutti i nemici ({2} per élite e boss)"
ITEM_FANTASY_CONTRACT,Contract,Contrat,契约,契約,계약,契約,Контракт,Kontrakt,Contrato,Contrato,Vertrag,Sözleşme,Contratto
EFFECT_FANTASY_SHOP_ENTER_STAT_CURSE,"Upon entering the shop, there is a {2} chance to spend {0} {1} to randomly curse {3} owned item or weapon
{4}
{5}","En entrant dans la boutique, il y a une chance de {2} de dépenser {0} {1} pour maudire aléatoirement {3} objet ou arme possédé
{4}
{5}","进入商店时,有{2}概率使用{0}点{1}随机诅咒{3}件已拥有的道具或武器
{4}
{5}","ショップに入ると,{2}%の確率で{0}{1}を消費し,所持するアイテムか武器{3}個をランダムに呪う
{4}
{5}","상점에 들어갈 때, {2}의 확률로 {0} {1}을 소모하여 소유한 아이템 또는 무기 {3}개를 무작위로 저주합니다
{4}
{5}","進入商店時,有{2}機率使用{0}點{1}隨機詛咒{3}件已擁有的道具或武器
{4}
{5}","При входе в магазин есть шанс {2} потратить {0} {1}, чтобы случайно проклясть {3} имеющихся предмета или оружия
{4}
{5}","Po wejściu do sklepu, jest {2} szans na wydanie {0} {1}, aby losowo przekląć {3} posiadany przedmiot lub broń
{4}
{5}","Al entrar en la tienda, hay una probabilidad de {2} de gastar {0} {1} para maldecir aleatoriamente {3} objeto o arma poseída
{4}
{5}","Ao entrar na loja, há {2} de chance de gastar {0} {1} para amaldiçoar aleatoriamente {3} item ou arma possuído
{4}
{5}","Beim Betreten des Ladens besteht eine {2}-Chance, {0} {1} auszugeben, um {3} besessenen Gegenstand oder Waffe zufällig zu verfluchen
{4}
{5}","Dükkana girerken, sahip olunan {3} eşyayı veya silahı rastgele lanetlemek için {0} {1} harcama şansı {2}
{4}
{5}","Entrando nel negozio, c'è una probabilità del {2} di spendere {0} {1} per maledire casualmente {3} oggetti o armi posseduti
{4}
{5}"
TRACKING_CURSED,Cursed: {0},Maudit : {0},已诅咒:{0},呪い: {0},저주: {0},已詛咒:{0},Проклято: {0},Przeklęte: {0},Maldito: {0},Amaldiçoado: {0},Verflucht: {0},Lanetli: {0},Maledetto: {0}
ITEM_FANTASY_SCRIPTURE,Scripture,Écriture,经文,経典,경전,經文,Писание,Pismo,Libro sagrado,Escritura,Heilige Schrift,Kutsal Yazı,Scrittura
ITEM_FANTASY_ELF_EAR,Elf Ear,Oreille d'elfe,精灵耳,エルフの耳,엘프 귀,精靈耳,Эльфийское ухо,Ucho elfa,Oreja de elfo,Orelha de elfo,Elfenohr,Elf Kulağı,Orecchio da elfo
ITEM_FANTASY_CURSED_COIN,Cursed Coin,Pièce maudite,被诅咒的金币,呪われたコイン,저주받은 동전,被詛咒的金幣,Проклятая монета,Przeklęta moneta,Moneda maldita,Moeda amaldiçoada,Verfluchte Münze,Lanetli Sikke,Moneta maledetta
EFFECT_FANTASY_DAMAGE_CLAMP,"Whenever you take damage, that damage cannot exceed {2} max hp, but is at least {0}
{3}","Lorsque vous subissez des dégâts, ces dégâts ne peuvent pas dépasser {2} PV max, mais sont d'au moins {0}
{3}","你每次受到伤害不超过{2}最大生命值,但至少为{0}
{3}","ダメージを受けると,そのダメージは最大HPの{2}を超えず,最低{0}となる
{3}","피해를 받을 때마다, 피해량은 최대 체력의 {2}를 초과할 수 없지만 최소 {0}입니다
{3}","你每次受到傷害不超過{2}最大生命值,但至少為{0}
{3}","Получая урон, вы не можете получить более {2} макс. ОЗ, но не менее {0}
{3}","Ilekroć otrzymujesz obrażenia, nie mogą one przekroczyć {2} maks. PŻ, ale wynoszą co najmniej {0}
{3}","Cada vez que recibes daño, ese daño no puede exceder el {2} de tu vida máxima, pero es al menos {0}
{3}","Sempre que sofre dano, esse dano não pode exceder {2} da vida máxima, mas é no mínimo {0}
{3}","Immer wenn du Schaden nimmst, kann dieser Schaden {2} der maximalen LP nicht überschreiten, beträgt aber mindestens {0}
{3}","Ne zaman hasar alsan, bu hasar maksimum canının {2}'sini aşamaz, ancak en az {0} olur
{3}","Ogni volta che subisci danni, il danno non può superare {2} PV massimi, ma è almeno {0}
{3}"
EFFECT_FANTASY_DAMAGE_REFLECT,"When you take damage from a source other than yourself, reflect damage equal to the original damage value {0} to the attacker, modified by your damage bonus percentage","Lorsque vous subissez des dégâts d'une source autre que vous-même, renvoyez des dégâts égaux à la valeur originale des dégâts {0} à l'attaquant, modifiés par votre pourcentage de bonus aux dégâts","受到来源不是自己的伤害时,对攻击者造成伤害原本值{0}的反伤,受你的%伤害加成","自身以外からのダメージを受けた時,攻撃者に元のダメージ値の{0}の反射ダメージを与える(ダメージボーナス%の影響を受ける)","자신 이외의 대상으로부터 피해를 받을 때, 공격자에게 원래 피해량의 {0}만큼 피해를 반사합니다 (피해 보너스 %의 영향을 받음)","受到來源不是自己的傷害時,對攻擊者造成傷害原本值{0}的反傷,受你的%傷害加成","Получая урон не от себя, отражаете урон, равный {0} от исходного значения, в атакующего, модифицированный вашим процентом бонуса к урону","Otrzymując obrażenia ze źródła innego niż ty sam, odbijasz atakującemu obrażenia równe {0} pierwotnej wartości, modyfikowane przez twój procent premii do obrażeń","Cuando recibes daño de una fuente distinta a ti mismo, reflejas un daño igual al valor de daño original {0} al atacante, modificado por tu porcentaje de bonificación de daño","Quando você sofre dano de uma fonte que não seja você mesmo, reflete dano igual ao valor original do dano {0} ao atacante, modificado por sua porcentagem de bônus de dano","Wenn du Schaden von einer anderen Quelle als dir selbst nimmst, wird Schaden in Höhe des ursprünglichen Schadenswerts {0} auf den Angreifer reflektiert, modifiziert durch deinen Schadensbonus-Prozentsatz","Kendin dışında bir kaynaktan hasar aldığında, saldırana, hasar bonus yüzdenle değiştirilerek orijinal hasar değerinin {0}'ı kadar hasar yansıt","Quando subisci danni da una fonte diversa da te stesso, rifletti all'attaccante un danno pari al {0} del valore originale del danno, modificato dalla tua percentuale di bonus al danno"
ITEM_FANTASY_CRIMSON_HOLY_SHROUD,Crimson Holy Shroud,Suaire sacré cramoisi,绯红圣骸布,紅蓮の聖骸布,진홍빛 성해포,緋紅聖骸布,Алый священный покров,Karmazynowy święty całun,Sudario sagrado carmesí,Sudário sagrado carmesim,Purpurrotes heiliges Tuch,Kızıl Kutsal Kefen,Sudario sacro cremisi
ITEM_FANTASY_CROW,Crow,Corbeau,乌鸦,カラス,까마귀,烏鴉,Ворона,Wrona,Cuervo,Corvo,Krähe,Karga,Corvo
FANTASY_CROW_NAME,Crow,Corbeau,乌鸦,カラス,까마귀,烏鴉,Ворона,Wrona,Cuervo,Corvo,Krähe,Karga,Corvo
EFFECT_FANTASY_PET_CROW,"Summon a crow that surrounds you, firing a feather every {0}s at enemies within range {1}, dealing {2} ({3}) damage","Invoque un corbeau qui vous entoure, tirant une plume toutes les {0}s sur les ennemis à portée {1}, infligeant {2} ({3}) dégâts","召唤一只乌鸦围绕在你身边,每{0}秒发射一枚羽毛攻击范围{1}内的敌人,造成{2}({3})伤害","カラスを召喚して周囲を旋回させ,{0}秒ごとに範囲{1}内の敵に羽根を発射し,{2}({3})ダメージを与える",주변을 맴도는 까마귀를 소환합니다. {0}초마다 범위 {1} 내의 적에게 깃털을 발사하여 {2}({3}) 피해를 줍니다,"召喚一隻烏鴉圍繞在你身邊,每{0}秒發射一枚羽毛攻擊範圍{1}內的敵人,造成{2}({3})傷害","Призывает ворону, которая кружит вокруг вас, каждые {0} с. выпуская перо во врагов в радиусе {1}, нанося {2} ({3}) урона","Przywołuje wronę, która krąży wokół ciebie, co {0} s wystrzeliwując pióro we wrogów w zasięgu {1}, zadając {2} ({3}) obrażeń","Invoca un cuervo que te rodea, disparando una pluma cada {0}s a los enemigos dentro del rango {1}, infligiendo {2} ({3}) de daño","Invoca um corvo que o rodeia, disparando uma pena a cada {0}s em inimigos num raio de {1}, causando {2} ({3}) de dano","Beschwört eine Krähe, die dich umkreist und alle {0}s eine Feder auf Gegner in Reichweite {1} feuert, die {2} ({3}) Schaden verursacht","Etrafında dönen bir karga çağırır, her {0} saniyede bir menzil {1} içindeki düşmanlara tüy atarak {2} ({3}) hasar verir","Evoca un corvo che ti circonda, sparando una piuma ogni {0}s ai nemici entro un raggio di {1}, infliggendo {2} ({3}) danni"
ITEM_FANTASY_CURSED_FIRE,Cursed Fire,Feu maudit,诅咒之火,呪われし炎,저주받은 불,詛咒之火,Проклятый огонь,Przeklęty ogień,Fuego maldito,Fogo amaldiçoado,Verfluchtes Feuer,Lanetli Ateş,Fuoco maledetto
FANTASY_LIVING_CURSED_ENEMY,Cursed Enemy,Ennemi maudit,被诅咒的敌人,呪われた敵,저주받은 적,被詛咒的敵人,Проклятый враг,Przeklęty wróg,Enemigo maldito,Inimigo amaldiçoado,Verfluchter Feind,Lanetli Düşman,Nemico maledetto
ITEM_FANTASY_DEMON_EYE,Demon Eye,Œil de démon,恶魔之眼,悪魔の目,악마의 눈,惡魔之眼,Глаз демона,Oko demona,Ojo de demonio,Olho de demônio,Dämonenauge,Şeytan Gözü,Occhio di demone
ITEM_FANTASY_DEMON_EYE_USED,Fossilized Demon Eye,Œil de démon fossilisé,石化的恶魔之眼,石化した悪魔の目,화석화된 악마의 눈,石化的惡魔之眼,Окаменелый глаз демона,Skamieniałe oko demona,Ojo de demonio fosilizado,Olho de demônio fossilizado,Versteinertes Dämonenauge,Fosilleşmiş Şeytan Gözü,Occhio di demone fossilizzato
EFFECT_FANTASY_CURSE_ALL_ON_REROLL,Curse all items in the shop the next reroll,Maudit tous les objets de la boutique à la prochaine actualisation,下一次刷新诅咒商店里的所有物品,次の再抽選で店内の全アイテムを呪う,다음 재굴림 시 상점의 모든 아이템을 저주합니다,下一次刷新詛咒商店裡的所有物品,Проклинает все предметы в магазине при следующем обновлении,Przeklnij wszystkie przedmioty w sklepie przy następnym przerzucie,Maldecir todos los objetos de la tienda en la siguiente tirada,Amaldiçoar todos os itens da loja na próxima rolagem,Verfluche alle Gegenstände im Laden beim nächsten Neuwurf,Bir sonraki yenilemede dükkandaki tüm eşyaları lanetle,Maledici tutti gli oggetti nel negozio al prossimo rinnovo
EFFECT_FANTASY_DEMON_EYE_USED,The exhausted demon eye has turned into a stone statue,L'œil de démon épuisé s'est transformé en statue de pierre,消耗殆尽的恶魔之眼变成了石像,消耗し尽くされた悪魔の目は石像と化した,소진된 악마의 눈은 석상으로 변했습니다,消耗殆盡的惡魔之眼變成了石像,Истощенный глаз демона превратился в каменную статую,Wyczerpane oko demona zmieniło się w kamienny posąg,El ojo de demonio agotado se ha convertido en una estatua de piedra,O olho de demônio exausto se transformou em uma estátua de pedra,Das erschöpfte Dämonenauge ist zu einer Steinstatue geworden,Tükenmiş şeytan gözü taş bir heykele dönüştü,L'occhio di demone esausto si è trasformato in una statua di pietra
